cohort,endpoint,dataset,size,method,paper_id,metric,direction,mean,std,split,protocol,source,source_kind,source_location,checked_on,rank
tdc-collected-six-19-v1,logD,Lipophilicity_AstraZeneca,4200,MolE,mole-2024,MAE,lower,0.406,0.009,TDC scaffold; 20% held-out test,tdc-admet-group,https://www.nature.com/articles/s41467-024-53751-y/tables/1,paper,Table 1,2026-09-22,1.0
tdc-collected-six-19-v1,logD,Lipophilicity_AstraZeneca,4200,KPGT,kpgt-2023,MAE,lower,0.446,0.016,TDC scaffold; 20% held-out test,tdc-admet-group,https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41467-023-43214-1/MediaObjects/41467_2023_43214_MOESM1_ESM.pdf,paper,Supplementary Table 8,2026-09-22,2.0
tdc-collected-six-19-v1,logD,Lipophilicity_AstraZeneca,4200,MapLight,maplight-2023,MAE,lower,0.539,0.002,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/05lipo/,leaderboard,TDC leaderboard,2026-09-22,5.0
tdc-collected-six-19-v1,logD,Lipophilicity_AstraZeneca,4200,MapLight + GNN,maplight-2023,MAE,lower,0.525,0.003,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/05lipo/,leaderboard,TDC leaderboard,2026-09-22,4.0
tdc-collected-six-19-v1,logD,Lipophilicity_AstraZeneca,4200,Chemprop-RDKit,chemprop-dmpnn-2019,MAE,lower,0.467,0.006,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/05lipo/,leaderboard,TDC leaderboard,2026-09-22,3.0
tdc-collected-six-19-v1,logD,Lipophilicity_AstraZeneca,4200,AttentiveFP,attentivefp-2019,MAE,lower,0.572,0.007,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/05lipo/,leaderboard,TDC leaderboard,2026-09-22,6.0
tdc-collected-six-19-v1,Solubility,Solubility_AqSolDB,9982,MolE,mole-2024,MAE,lower,0.776,0.019,TDC scaffold; 20% held-out test,tdc-admet-group,https://www.nature.com/articles/s41467-024-53751-y/tables/1,paper,Table 1,2026-09-22,3.5
tdc-collected-six-19-v1,Solubility,Solubility_AqSolDB,9982,KPGT,kpgt-2023,MAE,lower,0.714,0.011,TDC scaffold; 20% held-out test,tdc-admet-group,https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41467-023-43214-1/MediaObjects/41467_2023_43214_MOESM1_ESM.pdf,paper,Supplementary Table 8,2026-09-22,1.0
tdc-collected-six-19-v1,Solubility,Solubility_AqSolDB,9982,MapLight,maplight-2023,MAE,lower,0.792,0.002,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/06aqsol/,leaderboard,TDC leaderboard,2026-09-22,6.0
tdc-collected-six-19-v1,Solubility,Solubility_AqSolDB,9982,MapLight + GNN,maplight-2023,MAE,lower,0.789,0.003,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/06aqsol/,leaderboard,TDC leaderboard,2026-09-22,5.0
tdc-collected-six-19-v1,Solubility,Solubility_AqSolDB,9982,Chemprop-RDKit,chemprop-dmpnn-2019,MAE,lower,0.761,0.025,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/06aqsol/,leaderboard,TDC leaderboard,2026-09-22,2.0
tdc-collected-six-19-v1,Solubility,Solubility_AqSolDB,9982,AttentiveFP,attentivefp-2019,MAE,lower,0.776,0.008,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/06aqsol/,leaderboard,TDC leaderboard,2026-09-22,3.5
tdc-collected-six-19-v1,BBB,BBB_Martins,1975,MolE,mole-2024,AUROC,higher,0.903,0.003,TDC scaffold; 20% held-out test,tdc-admet-group,https://www.nature.com/articles/s41467-024-53751-y/tables/1,paper,Table 1,2026-09-22,4.0
tdc-collected-six-19-v1,BBB,BBB_Martins,1975,KPGT,kpgt-2023,AUROC,higher,0.908,0.005,TDC scaffold; 20% held-out test,tdc-admet-group,https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41467-023-43214-1/MediaObjects/41467_2023_43214_MOESM1_ESM.pdf,paper,Supplementary Table 8,2026-09-22,3.0
tdc-collected-six-19-v1,BBB,BBB_Martins,1975,MapLight,maplight-2023,AUROC,higher,0.916,0.001,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/07bbb/,leaderboard,TDC leaderboard,2026-09-22,1.0
tdc-collected-six-19-v1,BBB,BBB_Martins,1975,MapLight + GNN,maplight-2023,AUROC,higher,0.913,0.001,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/07bbb/,leaderboard,TDC leaderboard,2026-09-22,2.0
tdc-collected-six-19-v1,BBB,BBB_Martins,1975,Chemprop-RDKit,chemprop-dmpnn-2019,AUROC,higher,0.869,0.027,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/07bbb/,leaderboard,TDC leaderboard,2026-09-22,5.0
tdc-collected-six-19-v1,BBB,BBB_Martins,1975,AttentiveFP,attentivefp-2019,AUROC,higher,0.855,0.011,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/07bbb/,leaderboard,TDC leaderboard,2026-09-22,6.0
tdc-collected-six-19-v1,VDss,VDss_Lombardo,1130,MolE,mole-2024,Spearman,higher,0.644,0.013,TDC scaffold; 20% held-out test,tdc-admet-group,https://www.nature.com/articles/s41467-024-53751-y/tables/1,paper,Table 1,2026-09-22,3.0
tdc-collected-six-19-v1,VDss,VDss_Lombardo,1130,KPGT,kpgt-2023,Spearman,higher,0.633,0.016,TDC scaffold; 20% held-out test,tdc-admet-group,https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41467-023-43214-1/MediaObjects/41467_2023_43214_MOESM1_ESM.pdf,paper,Supplementary Table 8,2026-09-22,4.0
tdc-collected-six-19-v1,VDss,VDss_Lombardo,1130,MapLight,maplight-2023,Spearman,higher,0.707,0.009,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/09vdss/,leaderboard,TDC leaderboard,2026-09-22,2.0
tdc-collected-six-19-v1,VDss,VDss_Lombardo,1130,MapLight + GNN,maplight-2023,Spearman,higher,0.713,0.007,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/09vdss/,leaderboard,TDC leaderboard,2026-09-22,1.0
tdc-collected-six-19-v1,VDss,VDss_Lombardo,1130,Chemprop-RDKit,chemprop-dmpnn-2019,Spearman,higher,0.389,0.075,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/09vdss/,leaderboard,TDC leaderboard,2026-09-22,5.0
tdc-collected-six-19-v1,VDss,VDss_Lombardo,1130,AttentiveFP,attentivefp-2019,Spearman,higher,0.241,0.145,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/09vdss/,leaderboard,TDC leaderboard,2026-09-22,6.0
