cohort,endpoint,dataset,size,method,paper_id,metric,direction,mean,std,split,protocol,source,source_kind,source_location,checked_on,rank
tdc-collected-six-19-v1,Microsomal clearance,Clearance_Microsome_AZ,1102,AttentiveFP,attentivefp-2019,Spearman,higher,0.365,0.055,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/18clmicro/,leaderboard,TDC leaderboard,2026-09-22,6.0
tdc-collected-six-19-v1,LD50,LD50_Zhu,7385,MolE,mole-2024,MAE,lower,0.602,0.016,TDC scaffold; 20% held-out test,tdc-admet-group,https://www.nature.com/articles/s41467-024-53751-y/tables/1,paper,Table 1,2026-09-22,2.0
tdc-collected-six-19-v1,LD50,LD50_Zhu,7385,KPGT,kpgt-2023,MAE,lower,0.545,0.01,TDC scaffold; 20% held-out test,tdc-admet-group,https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41467-023-43214-1/MediaObjects/41467_2023_43214_MOESM1_ESM.pdf,paper,Supplementary Table 8,2026-09-22,1.0
tdc-collected-six-19-v1,LD50,LD50_Zhu,7385,MapLight,maplight-2023,MAE,lower,0.621,0.003,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/19ld50/,leaderboard,TDC leaderboard,2026-09-22,3.0
tdc-collected-six-19-v1,LD50,LD50_Zhu,7385,MapLight + GNN,maplight-2023,MAE,lower,0.633,0.003,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/19ld50/,leaderboard,TDC leaderboard,2026-09-22,5.0
tdc-collected-six-19-v1,LD50,LD50_Zhu,7385,Chemprop-RDKit,chemprop-dmpnn-2019,MAE,lower,0.625,0.022,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/19ld50/,leaderboard,TDC leaderboard,2026-09-22,4.0
tdc-collected-six-19-v1,LD50,LD50_Zhu,7385,AttentiveFP,attentivefp-2019,MAE,lower,0.678,0.012,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/19ld50/,leaderboard,TDC leaderboard,2026-09-22,6.0
tdc-collected-six-19-v1,hERG blockade,hERG,648,MolE,mole-2024,AUROC,higher,0.835,0.018,TDC scaffold; 20% held-out test,tdc-admet-group,https://www.nature.com/articles/s41467-024-53751-y/tables/1,paper,Table 1,2026-09-22,5.0
tdc-collected-six-19-v1,hERG blockade,hERG,648,KPGT,kpgt-2023,AUROC,higher,0.847,0.024,TDC scaffold; 20% held-out test,tdc-admet-group,https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41467-023-43214-1/MediaObjects/41467_2023_43214_MOESM1_ESM.pdf,paper,Supplementary Table 8,2026-09-22,3.0
tdc-collected-six-19-v1,hERG blockade,hERG,648,MapLight,maplight-2023,AUROC,higher,0.871,0.004,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/20herg/,leaderboard,TDC leaderboard,2026-09-22,2.0
tdc-collected-six-19-v1,hERG blockade,hERG,648,MapLight + GNN,maplight-2023,AUROC,higher,0.88,0.002,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/20herg/,leaderboard,TDC leaderboard,2026-09-22,1.0
tdc-collected-six-19-v1,hERG blockade,hERG,648,Chemprop-RDKit,chemprop-dmpnn-2019,AUROC,higher,0.84,0.007,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/20herg/,leaderboard,TDC leaderboard,2026-09-22,4.0
tdc-collected-six-19-v1,hERG blockade,hERG,648,AttentiveFP,attentivefp-2019,AUROC,higher,0.825,0.007,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/20herg/,leaderboard,TDC leaderboard,2026-09-22,6.0
tdc-collected-six-19-v1,Mutagenicity,AMES,7255,MolE,mole-2024,AUROC,higher,0.834,0.015,TDC scaffold; 20% held-out test,tdc-admet-group,https://www.nature.com/articles/s41467-024-53751-y/tables/1,paper,Table 1,2026-09-22,5.0
tdc-collected-six-19-v1,Mutagenicity,AMES,7255,KPGT,kpgt-2023,AUROC,higher,0.868,0.003,TDC scaffold; 20% held-out test,tdc-admet-group,https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41467-023-43214-1/MediaObjects/41467_2023_43214_MOESM1_ESM.pdf,paper,Supplementary Table 8,2026-09-22,2.5
tdc-collected-six-19-v1,Mutagenicity,AMES,7255,MapLight,maplight-2023,AUROC,higher,0.868,0.002,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/21ames/,leaderboard,TDC leaderboard,2026-09-22,2.5
tdc-collected-six-19-v1,Mutagenicity,AMES,7255,MapLight + GNN,maplight-2023,AUROC,higher,0.869,0.002,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/21ames/,leaderboard,TDC leaderboard,2026-09-22,1.0
tdc-collected-six-19-v1,Mutagenicity,AMES,7255,Chemprop-RDKit,chemprop-dmpnn-2019,AUROC,higher,0.85,0.004,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/21ames/,leaderboard,TDC leaderboard,2026-09-22,4.0
tdc-collected-six-19-v1,Mutagenicity,AMES,7255,AttentiveFP,attentivefp-2019,AUROC,higher,0.814,0.008,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/21ames/,leaderboard,TDC leaderboard,2026-09-22,6.0
tdc-collected-six-19-v1,Liver injury,DILI,475,MolE,mole-2024,AUROC,higher,0.852,0.022,TDC scaffold; 20% held-out test,tdc-admet-group,https://www.nature.com/articles/s41467-024-53751-y/tables/1,paper,Table 1,2026-09-22,6.0
tdc-collected-six-19-v1,Liver injury,DILI,475,KPGT,kpgt-2023,AUROC,higher,0.929,0.013,TDC scaffold; 20% held-out test,tdc-admet-group,https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41467-023-43214-1/MediaObjects/41467_2023_43214_MOESM1_ESM.pdf,paper,Supplementary Table 8,2026-09-22,1.0
tdc-collected-six-19-v1,Liver injury,DILI,475,MapLight,maplight-2023,AUROC,higher,0.887,0.006,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/22dili/,leaderboard,TDC leaderboard,2026-09-22,3.5
tdc-collected-six-19-v1,Liver injury,DILI,475,MapLight + GNN,maplight-2023,AUROC,higher,0.917,0.005,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/22dili/,leaderboard,TDC leaderboard,2026-09-22,2.0
tdc-collected-six-19-v1,Liver injury,DILI,475,Chemprop-RDKit,chemprop-dmpnn-2019,AUROC,higher,0.887,0.011,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/22dili/,leaderboard,TDC leaderboard,2026-09-22,3.5
tdc-collected-six-19-v1,Liver injury,DILI,475,AttentiveFP,attentivefp-2019,AUROC,higher,0.886,0.015,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/22dili/,leaderboard,TDC leaderboard,2026-09-22,5.0
